1   US-20240142042-A1	   PDF	EXHAUST INSULATION SYSTEM	GOULET; Robert Jacque	2024-05-02	23
2	US-11964293-B2	   PDF	Rigid mount orbitor sprinkler	Sesser; George L. et al.	2024-04-23	29
3	US-11946584-B2	   PDF	Composite insulation system	Goulet; Robert Jacque	2024-04-02	41
4	US-11933408-B2	   PDF	Multi-function pressure regulation valve	Nelson; Craig B. et al.	2024-03-19	28
5	US-11885450-B2	   PDF	Quick connect coupler	Nelson; Craig B. et al.	2024-01-30	15
6	US-11867344-B2	   PDF	Composite insulation system	Goulet; Robert Jacque	2024-01-09	24
7	US-11821569-B2	   PDF	Band clamp insulation system	Goulet; Robert Jacque	2023-11-21	14
8	US-11806920-B2	   PDF	Heat curable composite textile	Goulet; Robert Jacque	2023-11-07	11
9	US-11795421-B2	   PDF	Microalgae production process and equipment	Zeelie; Bernard et al.	2023-10-24	13
10	US-11745207-B2	   PDF	Sprinkler with modular components and pop up deflector with lug(s) for rotational engagement	Crawford; Steven E. et al.	2023-09-05	28
11	US-11698161-B2	   PDF	Breathable multi-component exhaust insulation system	Goulet; Robert Jacque	2023-07-11	14
12	US-11692654-B2	   PDF	Corrugated band clamp	Goulet; Robert Jacque	2023-07-04	18
13	US-11688024-B2	   PDF	Location-conscious social networking apparatuses, methods and systems	Miller; Luke et al.	2023-06-27	62
14	US-20230142405-A1	   PDF	A CONTINUOUS FLOW SYNTHESIS METHOD FOR THE MANUFACTURE OF ISONIAZID	WATTS; Paul et al.	2023-05-11	12
15	US-11576012-B2	   PDF	Wireless network	Griggs; Travis et al.	2023-02-07	21
16	US-11534849-B2	   PDF	Light weight cordless stud welder	Schraff; Scott J. et al.	2022-12-27	13
17	US-11511290-B2	   PDF	Flow control device with drain check	Greenwood; Riley D.	2022-11-29	19
18	US-11505354-B1	   PDF	Packaging/inspection system for a nozzle pivot package	Bren; Theodore J. et al.	2022-11-22	8
19	US-D969475-S	   PDF	Customizable sock	Nelson; Mitchell B.	2022-11-15	8
20	US-D966123-S	   PDF	Pressure regulator	Greenwood; Riley D.	2022-10-11	12
21	US-11408515-B2	   PDF	Pressure regulator having an oblique valve seat	Greenwood; Riley D. et al.	2022-08-09	16
22	US-11408695-B2	   PDF	Pistol slide with separable breech block	Nelson; Jeremy Michael et al.	2022-08-09	17
23	US-RE49130-E	   PDF	Ladder attachment platform	Swygert; Richard W. et al.	2022-07-12	13
24	US-11376621-B2	   PDF	Sprinkler assembly having coiled weight	Scott; Sean M. et al.	2022-07-05	18
25	US-20220159418-A1	   PDF	Wireless Network	Griggs; Travis et al.	2022-05-19	21
26	US-20220144756-A1	   PDF	FLOW SYNTHESIS PROCESS FOR THE PRODUCTION OF OSELTAMIVIR	Sagandira; Cloudius Ray et al.	2022-05-12	38
27	US-11325147-B2	   PDF	Sprinkler with modular components and pop-up deflector	Crawford; Steven E. et al.	2022-05-10	24
28	US-11277714-B2	   PDF	Wireless network	Griggs; Travis et al.	2022-03-15	21
29	US-11255651-B2	   PDF	Leveling device for hanging picture frames	Medina; Donald Arthur et al.	2022-02-22	12
30	US-11171941-B2	   PDF	Mobile device enabled desktop tethered and tetherless authentication	Cicchitto; Nelson A.	2021-11-09	33
31	US-11154882-B2	   PDF	Cage design with modified struts including oriented fins	Nelson; Craig B. et al.	2021-10-26	9
32	US-11126208-B2	   PDF	Multi-function pressure regulation valve	Nelson; Craig et al.	2021-09-21	14
33	US-11122034-B2	   PDF	Method and apparatus for an identity assurance score with ties to an ID-less and password-less authentication system	Cicchitto; Nelson A.	2021-09-14	27
34	US-11090671-B2	   PDF	Automatic reversible arc sprinkler	Zimmerman; Mathew L. et al.	2021-08-17	12
35	US-11085568-B2	   PDF	Center pivot irrigation gooseneck with varying cross-sectional diameters	Nelson; Craig B. et al.	2021-08-10	20
36	US-11045823-B2	   PDF	Rotary nozzle sprinkler with orbital diffuser	Sesser; George L. et al.	2021-06-29	14
37	US-11040358-B2	   PDF	Rigid mount orbitor sprinkler with spider refuge	Sesser; George L. et al.	2021-06-22	32
38	US-D921442-S	   PDF	Container	Nelson, Jr.; John et al.	2021-06-08	7
39	US-D921443-S	   PDF	Container	Nelson, Jr.; John et al.	2021-06-08	7
40	US-11020756-B2	   PDF	Orbital sprinkler with speed control brake	Sesser; George L. et al.	2021-06-01	56
41	US-11002394-B2	   PDF	Quick connect joint	Zimmerman; Mathew L. et al.	2021-05-11	13
42	US-10995812-B2	   PDF	Canted coil spring shock absorber	Nelson; Carl	2021-05-04	24
43	US-10969804-B2	   PDF	Pressure regulator having single strut seat with strut coaxial to plunger	Greenwood; Riley D. et al.	2021-04-06	19
44	US-10909640-B1	   PDF	Location-conscious social networking apparatuses, methods and systems	Miller; Luke et al.	2021-02-02	60
45	US-10906122-B2	   PDF	Portable drawn arc stud welder including a lithium ferrophosphate battery	Schraff; Scott J. et al.	2021-02-02	26
46	US-10906052-B2	   PDF	Drain check in pressure regulator	Greenwood; Riley D.	2021-02-02	20
47	US-10894296-B2	   PDF	Light weight cordless stud welder	Schraff; Scott J. et al.	2021-01-19	13
48	US-10864534-B2	   PDF	Rigid mount orbitor sprinkler	Sesser; George L. et al.	2020-12-15	28
49	US-10848485-B2	   PDF	Method and apparatus for a social network score system communicably connected to an ID-less and password-less authentication system	Cicchitto; Nelson A.	2020-11-24	28
