cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B79/005,Methods for working soil-Precision agriculture,A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
B01D,SEPARATION ,B01D2221/06,Applications of separation devices-Separation devices for industrial food processing or agriculture,B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING ",B01F2101/04,"Mixing characterised by the nature of the mixed materials or by the application field-Mixing biocidal, pesticidal or herbicidal ingredients used in agriculture or horticulture, e.g. for spraying",B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING ",B01F2215/0009,"Auxiliary or complementary information in relation with mixing-Field of application of the mixing device-Mixing biocide, pesticide, herbicide, ingredients used, e.g. for spraying, in agriculture, horticulture ",B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B32B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM",B32B2410/00,Agriculture-related articles,B32,LAYERED PRODUCTS
B60Q,"ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL",B60Q2800/20,"Features related to particular types of vehicles not otherwise provided for-Utility vehicles, e.g. for agriculture, construction work",B60,VEHICLES IN GENERAL
B64U,UNMANNED AERIAL VEHICLES [UAV]; EQUIPMENT THEREFOR,B64U2101/40,UAVs specially adapted for particular uses or applications-for agriculture or forestry operations,B64,AIRCRAFT; AVIATION; COSMONAUTICS
D06N,"WALL, FLOOR, OR LIKE COVERING MATERIALS, e.g. LINOLEUM, OILCLOTH, ARTIFICIAL LEATHER, ROOFING FELT, CONSISTING OF A FIBROUS WEB COATED WITH A LAYER OF MACROMOLECULAR MATERIAL; FLEXIBLE SHEET MATERIAL NOT OTHERWISE PROVIDED FOR",D06N2211/02,Specially adapted uses-Agriculture,D06,TREATMENT OF TEXTILES OR THE LIKE; LAUNDERING; FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR
D07B,ROPES OR CABLES IN GENERAL ,D07B2501/2038,"Application field-related to ropes or cables-Agriculture, forestry and fishery",D07,ROPES; CABLES OTHER THAN ELECTRIC
G05B,CONTROL OR REGULATING SYSTEMS IN GENERAL; FUNCTIONAL ELEMENTS OF SUCH SYSTEMS; MONITORING OR TESTING ARRANGEMENTS FOR SUCH SYSTEMS OR ELEMENTS ,G05B2219/45017,"Program-control systems-Nc systems-Nc applications-Agriculture machine, tractor",G05,CONTROLLING; REGULATING
