cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B2034/2074,"Computer-aided surgery; Manipulators or robots specially adapted for use in surgery-Surgical navigation systems; Devices for tracking or guiding surgical instruments, e.g. for frameless stereotaxis-Interface software",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A63F,"CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR",A63F13/77,"Video games, i.e. games using an electronically generated display having two or more dimensions -Game security or game management aspects-involving data related to game devices or game servers, e.g. configuration data, software version or amount of memory",A63,SPORTS; GAMES; AMUSEMENTS
A63F,"CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR",A63F2300/209,"Features of games using an electronically generated display having two or more dimensions, e.g. on a television screen, showing representations related to the game-characterised by details of the game platform-characterized by low level software layer, relating to hardware management, e.g. Operating System, Application Programming Interface",A63,SPORTS; GAMES; AMUSEMENTS
A63F,"CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR",A63F2300/552,"Features of games using an electronically generated display having two or more dimensions, e.g. on a television screen, showing representations related to the game-characterized by details of game servers-Details of game data or player data management-for downloading to client devices, e.g. using OS version, hardware or software profile of the client device",A63,SPORTS; GAMES; AMUSEMENTS
B01D,SEPARATION ,B01D2313/701,Details relating to membrane modules or apparatus-Control means using a programmable logic controller [PLC] or a computer-comprising a software program or a logic diagram,B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B60L,PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES ; SUPPLYING ELECTRIC POWER FOR AUXILIARY EQUIPMENT OF ELECTRICALLY-PROPELLED VEHICLES ; ELECTRODYNAMIC BRAKE SYSTEMS FOR VEHICLES IN GENERAL ; MAGNETIC SUSPENSION OR LEVITATION FOR VEHICLES; MONITORING OPERATING VARIABLES OF ELECTRICALLY-PROPELLED VEHICLES; ELECTRIC SAFETY DEVICES FOR ELECTRICALLY-PROPELLED VEHICLES,B60L2270/40,Problem solutions or means not otherwise provided for-related to technical updates when adding new parts or software,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/00,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/02,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller-Active or adaptive cruise control system; Distance control,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/022,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller-Active or adaptive cruise control system; Distance control-Collision avoidance systems,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/024,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller-Active or adaptive cruise control system; Distance control-Collision mitigation systems,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/03,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller-Brake assistants,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/04,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller-Hill descent control,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/06,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller-Hill holder; Start aid systems on inclined road,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/08,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller-Lane monitoring; Lane Keeping Systems,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/081,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller-Lane monitoring; Lane Keeping Systems-using distance control,B60,VEHICLES IN GENERAL
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL ; ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES",B60T2201/082,Particular use of vehicle brake systems; Special systems using also the brakes; Special software modules within the brake system controller-Lane monitoring; Lane Keeping Systems-using alarm actuation,B60,VEHICLES IN GENERAL
