cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
A45C,PURSES; LUGGAGE; HAND CARRIED BAGS,A45C2011/007,"Receptacles for purposes not provided for in groups A45C1/00-A45C9/00 -Receptacles for personal medical or care products, e.g. drugs, condoms or patches; Small first-aid kits",A45,HAND OR TRAVELLING ARTICLES
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B2018/00154,"Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body -Mechanical features of the instrument of device-Coatings on the energy applicator-containing and delivering drugs",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B5/1104,"Measuring for diagnostic purposes ; Identification of persons-Detecting, measuring or recording devices for testing the shape, pattern, ; colour,;  size or movement of the body or parts thereof, for diagnostic purposes -Measuring movement of the entire body or parts thereof, e.g. head or hand tremor, mobility of a limb -induced by stimuli or drugs; ",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B5/1105,"Measuring for diagnostic purposes ; Identification of persons-Detecting, measuring or recording devices for testing the shape, pattern, ; colour,;  size or movement of the body or parts thereof, for diagnostic purposes -Measuring movement of the entire body or parts thereof, e.g. head or hand tremor, mobility of a limb -induced by stimuli or drugs; -of laboratory animals, e.g. activity",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61B,DIAGNOSIS; SURGERY; IDENTIFICATION ,A61B5/1106,"Measuring for diagnostic purposes ; Identification of persons-Detecting, measuring or recording devices for testing the shape, pattern, ; colour,;  size or movement of the body or parts thereof, for diagnostic purposes -Measuring movement of the entire body or parts thereof, e.g. head or hand tremor, mobility of a limb -induced by stimuli or drugs; -to assess neuromuscular blockade, e.g. to estimate depth of anaesthesia",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS ",A61F2013/00906,Bandages or dressings ; Absorbent pads-Plasters-containing means-for transcutaneous or transdermal drugs application,A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61H,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY ",A61H15/02,"Massage by means of rollers, balls, e.g. inflatable, chains, or roller chains-adapted for simultaneous treatment with light, heat or drugs",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61H,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY ",A61H2201/105,"Characteristics of apparatus not provided for in the preceding codes-with further special therapeutic means, e.g. electrotherapy, magneto therapy or radiation therapy, chromo therapy, infrared or ultraviolet therapy-with means for delivering media, e.g. drugs or cosmetics",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61H,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY ",A61H2201/107,"Characteristics of apparatus not provided for in the preceding codes-with further special therapeutic means, e.g. electrotherapy, magneto therapy or radiation therapy, chromo therapy, infrared or ultraviolet therapy-with means for delivering media, e.g. drugs or cosmetics-Respiratory gas",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61J,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE,A61J7/0454,"Devices for administering medicines orally, e.g. spoons ; Pill counting devices; Arrangements for time indication or reminder for taking medicine-Arrangements for time indication or reminder for taking medicine, e.g. programmed dispensers-with timers-for dispensing of multiple drugs",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K41/0042,"Medicinal preparations obtained by treating materials with wave energy or particle radiation ; ; Therapies using these preparations-Photocleavage of drugs in vivo, e.g. cleavage of photolabile linkers in vivo by UV radiation for releasing the pharmacologically-active agent from the administered agent; photothrombosis or photoocclusion",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/6803,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/68031,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug being an auristatin",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/68033,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug being a maytansine",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/68035,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug being a pyrrolobenzodiazepine",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/68037,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug being a camptothecin [CPT] or derivatives",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/6805,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug being a vinca alkaloid",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/6807,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug or compound being a sugar, nucleoside, nucleotide, nucleic acid, e.g. RNA antisense",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/6809,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug or compound being a sugar, nucleoside, nucleotide, nucleic acid, e.g. RNA antisense-Antibiotics, e.g. antitumor antibiotics anthracyclins, adriamycin, doxorubicin or daunomycin",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/6811,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug being a protein or peptide, e.g. transferrin or bleomycin",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/6813,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug being a protein or peptide, e.g. transferrin or bleomycin-the drug being a peptidic cytokine, e.g. an interleukin or interferon",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES ",A61K47/6815,"Medicinal preparations characterised by the non-active ingredients used, e.g. carriers or inert additives; Targeting or modifying agents chemically bound to the active ingredient-the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates-the non-active ingredient being a modifying agent-the modifying agent being an antibody, an immunoglobulin or a fragment thereof, e.g. an Fc-fragment-Drug-antibody or immunoglobulin conjugates defined by the pharmacologically or therapeutically active agent-Drugs conjugated to an antibody or immunoglobulin, e.g. cisplatin-antibody conjugates-the drug being a protein or peptide, e.g. transferrin or bleomycin-Enzymes",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
