cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/00,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width ",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/005,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -for endwise transportation, i.e. the direction of transport being substantially perpendicular to the direction of agricultural operation ",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/02,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/04,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames-foldable about a horizontal axis",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/042,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames-foldable about a horizontal axis-specially adapted for actively driven implements",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/044,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames-foldable about a horizontal axis-the axis being oriented in a longitudinal direction ",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/046,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames-foldable about a horizontal axis-the axis being oriented in a longitudinal direction -each folding frame part being foldable in itself",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/048,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames-foldable about a horizontal axis-the axis being oriented in transverse direction ",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/06,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames-foldable about a vertical axis",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/062,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames-foldable about a vertical axis-of the type comprising four vertical folding axes each disposed at a substantially fixed location of a supporting frame",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/065,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames-foldable about a vertical axis-to a position essentially forward of the axis, in relation to the direction of travel",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B73/067,"Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width -Folding frames-foldable about a vertical axis-to a position essentially rearward of the axis, in relation to the direction of travel",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01D,HARVESTING; MOWING,A01D78/1007,Haymakers with tines moving with respect to the machine-with tine-carrying rotary heads or wheels-the tines rotating about a substantially vertical axis-Arrangements to facilitate transportation specially adapted therefor ,A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01D,HARVESTING; MOWING,A01D78/1014,Haymakers with tines moving with respect to the machine-with tine-carrying rotary heads or wheels-the tines rotating about a substantially vertical axis-Arrangements to facilitate transportation specially adapted therefor -Folding frames,A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A22B,SLAUGHTERING,A22B7/006,Slaughterhouse arrangements-Conveying arrangements-Trolleys or special vehicles for carcass transportation,A22,BUTCHERING; MEAT TREATMENT; PROCESSING POULTRY OR FISH
A23F,"COFFEE; TEA; THEIR SUBSTITUTES; MANUFACTURE, PREPARATION, OR INFUSION THEREOF",A23F5/046,Coffee; Coffee substitutes; Preparations thereof-Methods of roasting coffee -with agitation or transportation of the beans by gases; Fluidised-bed roasting or fluidised-bed cooling after roasting ,A23,"FOODS OR FOODSTUFFS; TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES"
A47K,SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR ; TOILET ACCESSORIES ,A47K3/325,"Baths; Douches; Appurtenances therefor -Showers ; or bathing douches-Screens or ; collapsible;  cabinets ; for showers or baths -Collapsible cabinets-movable, e.g. for easy transportation to the site of use",A47,FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL
A61G,"TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS ; OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES ",A61G5/0875,"Chairs or personal conveyances specially adapted for patients or disabled persons, e.g. wheelchairs -foldable-dismountable, e.g. where the wheelchair can be disassembled for transportation or storage",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C11/02,"Accessories for skiing or snowboarding -Devices for stretching, clamping or pressing skis or snowboards for transportation or storage",A63,SPORTS; GAMES; AMUSEMENTS
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C11/021,"Accessories for skiing or snowboarding -Devices for stretching, clamping or pressing skis or snowboards for transportation or storage-Devices for binding skis in pairs, e.g. straps, clips ",A63,SPORTS; GAMES; AMUSEMENTS
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C11/022,"Accessories for skiing or snowboarding -Devices for stretching, clamping or pressing skis or snowboards for transportation or storage-Devices for binding skis in pairs, e.g. straps, clips -with magnets",A63,SPORTS; GAMES; AMUSEMENTS
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C11/023,"Accessories for skiing or snowboarding -Devices for stretching, clamping or pressing skis or snowboards for transportation or storage-Carrying-devices",A63,SPORTS; GAMES; AMUSEMENTS
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C11/025,"Accessories for skiing or snowboarding -Devices for stretching, clamping or pressing skis or snowboards for transportation or storage-Carrying-devices-for skis or ski-sticks",A63,SPORTS; GAMES; AMUSEMENTS
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C11/026,"Accessories for skiing or snowboarding -Devices for stretching, clamping or pressing skis or snowboards for transportation or storage-Carrying-devices-for skis or ski-sticks-on wheels",A63,SPORTS; GAMES; AMUSEMENTS
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C11/027,"Accessories for skiing or snowboarding -Devices for stretching, clamping or pressing skis or snowboards for transportation or storage-Protectors for skis, e.g. containers on the roof of cars",A63,SPORTS; GAMES; AMUSEMENTS
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C11/028,"Accessories for skiing or snowboarding -Devices for stretching, clamping or pressing skis or snowboards for transportation or storage-Storage in cupboards or ski-racks, e.g. with clamping devices",A63,SPORTS; GAMES; AMUSEMENTS
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C2203/44,"Special features of skates, skis, roller-skates, snowboards and courts-Storage or transportation means for ice or roller skates",A63,SPORTS; GAMES; AMUSEMENTS
B01D,SEPARATION ,B01D2259/4566,Type of treatment-Gas separation or purification devices adapted for specific applications-for use in transportation means,B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B01D,SEPARATION ,B01D2259/4575,Type of treatment-Gas separation or purification devices adapted for specific applications-for use in transportation means-in aeroplanes or space ships,B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
B60G,VEHICLE SUSPENSION ARRANGEMENTS ,B60G2800/98,Indexing codes relating to the type of movement or to the condition of the vehicle and to the end result to be achieved by the control action-System Controller type-Intelligent Transportation System or Bus [IDB],B60,VEHICLES IN GENERAL
B60P,"VEHICLES ADAPTED FOR LOAD TRANSPORTATION OR TO TRANSPORT, TO CARRY, OR TO COMPRISE SPECIAL LOADS OR OBJECTS ",B60P3/068,"Vehicles adapted to transport, to carry or to comprise special loads or objects -for carrying vehicles -Especially adapted for road transportation of railway stock ",B60,VEHICLES IN GENERAL
B61L,GUIDING RAILWAY TRAFFIC; ENSURING THE SAFETY OF RAILWAY TRAFFIC ,B61L23/005,"Control, warning or like safety means along the route or between vehicles or trains-Control or safety means for heart-points and crossings of aerial railways, funicular rack-railway-Automatic control or safety means for points for operator-less railway, e.g. transportation systems",B61,RAILWAYS
B62D,MOTOR VEHICLES; TRAILERS ,B62D1/265,"Steering controls, i.e. means for initiating a change of direction of the vehicle-not vehicle-mounted-mechanical, e.g. by a non-load-bearing guide -especially adapted for guiding road vehicles carrying loads or passengers, e.g. in urban networks for public transportation",B62,LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS
B62D,MOTOR VEHICLES; TRAILERS ,B62D65/022,"Designing, manufacturing, e.g. assembling, facilitating disassembly, or structurally modifying motor vehicles or trailers, not otherwise provided for-Joining sub-units or components to, or positioning sub-units or components with respect to, body shell or other sub-units or components-Transferring or handling sub-units or components, e.g. in work stations or between workstations and transportation systems",B62,LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS
B62D,MOTOR VEHICLES; TRAILERS ,B62D65/18,"Designing, manufacturing, e.g. assembling, facilitating disassembly, or structurally modifying motor vehicles or trailers, not otherwise provided for-Joining sub-units or components to, or positioning sub-units or components with respect to, body shell or other sub-units or components-Transportation, conveyor or haulage systems specially adapted for motor vehicle or trailer assembly lines ",B62,LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS
B64U,UNMANNED AERIAL VEHICLES [UAV]; EQUIPMENT THEREFOR,B64U2101/58,"UAVs specially adapted for particular uses or applications-for life-saving or rescue operations; for medical use-for medical evacuation, i.e. the transportation of persons or animals to a place where they can receive medical care",B64,AIRCRAFT; AVIATION; COSMONAUTICS
B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES",B65D88/30,"Large containers -Hoppers, i.e. containers having funnel-shaped discharge sections -specially adapted to facilitate transportation from one utilisation site to another ",B65,CONVEYING; PACKING; STORING; HANDLING THIN OR FILAMENTARY MATERIAL
B66B,ELEVATORS; ESCALATORS OR MOVING WALKWAYS ,B66B2201/215,Aspects of control systems of elevators-Details of the evaluation method for the allocation of a call to an elevator car-Transportation capacity,B66,HOISTING; LIFTING; HAULING
C03B,"MANUFACTURE, SHAPING, OR SUPPLEMENTARY PROCESSES",C03B2215/87,"Press-moulding glass-Linear series of multiple press moulds-with change of transportation direction in the horizontal plane, e.g. rectangular or 'U' shape serial transport",C03,GLASS; MINERAL OR SLAG WOOL
C13B,PRODUCTION OF SUCROSE; APPARATUS SPECIALLY ADAPTED THEREFOR ,C13B10/102,Production of sugar juices -Extraction of sugar from sugar beet with water-Continuous processes-having rotatable means for agitation or transportation,C13,SUGAR INDUSTRY
C13B,PRODUCTION OF SUCROSE; APPARATUS SPECIALLY ADAPTED THEREFOR ,C13B10/105,Production of sugar juices -Extraction of sugar from sugar beet with water-Continuous processes-having rotatable means for agitation or transportation-Rotating apparatus,C13,SUGAR INDUSTRY
C13B,PRODUCTION OF SUCROSE; APPARATUS SPECIALLY ADAPTED THEREFOR ,C13B10/107,"Production of sugar juices -Extraction of sugar from sugar beet with water-Continuous processes-with transportation in the form of thin layers, e.g. by endless chains",C13,SUGAR INDUSTRY
C13B,PRODUCTION OF SUCROSE; APPARATUS SPECIALLY ADAPTED THEREFOR ,C13B30/023,"Crystallisation; Crystallising apparatus; Separating crystals from mother liquors ; ; Evaporating or boiling sugar juice-Crystallisation; Crystallising apparatus-Continuous processes, apparatus therefor -having rotatable means for agitation or transportation",C13,SUGAR INDUSTRY
D06N,"WALL, FLOOR, OR LIKE COVERING MATERIALS, e.g. LINOLEUM, OILCLOTH, ARTIFICIAL LEATHER, ROOFING FELT, CONSISTING OF A FIBROUS WEB COATED WITH A LAYER OF MACROMOLECULAR MATERIAL; FLEXIBLE SHEET MATERIAL NOT OTHERWISE PROVIDED FOR",D06N2211/26,"Specially adapted uses-Decorative or sun protection articles-Vehicles, transportation",D06,TREATMENT OF TEXTILES OR THE LIKE; LAUNDERING; FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR
D06N,"WALL, FLOOR, OR LIKE COVERING MATERIALS, e.g. LINOLEUM, OILCLOTH, ARTIFICIAL LEATHER, ROOFING FELT, CONSISTING OF A FIBROUS WEB COATED WITH A LAYER OF MACROMOLECULAR MATERIAL; FLEXIBLE SHEET MATERIAL NOT OTHERWISE PROVIDED FOR",D06N2211/261,"Specially adapted uses-Decorative or sun protection articles-Vehicles, transportation-Body finishing, e.g. headliners",D06,TREATMENT OF TEXTILES OR THE LIKE; LAUNDERING; FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR
